country,continent,GDP (US$ million)
United States,Americas,"22,939,580"
China,Asia,"16,862,979"
Japan,Asia,"5,103,110"
Germany,Europe,"4,230,172"
United Kingdom,Europe,"3,108,416"
India,Asia,"2,946,061"
France,Europe,"2,940,428"
Italy,Europe,"2,120,232"
Canada,Americas,"2,015,983"
South Korea,Asia,"1,823,852"
Russia,Europe,"1,647,568"
Brazil,Americas,"1,645,837"
Australia,Oceania,"1,610,556"
Spain,Europe,"1,439,958"
Mexico,Americas,"1,285,518"
Indonesia,Asia,"1,150,245"
Iran,Asia,"1,081,383"
Netherlands,Europe,"1,007,562"
Saudi Arabia,Asia,"842,588"
Switzerland,Europe,"810,830"
Turkey,Asia,"795,952"
Taiwan,Asia,"785,589"
Poland,Europe,"655,332"
Sweden,Europe,"622,365"
Belgium,Europe,"581,848"
Thailand,Asia,"546,223"
Ireland,Europe,"516,253"
Austria,Europe,"481,209"
Nigeria,Africa,"480,482"
Israel,Asia,"467,532"
Argentina,Americas,"455,172"
Norway,Europe,"445,507"
South Africa,Africa,"435,145"
United Arab Emirates,Asia,"415,158"
Denmark,Europe,"396,666"
Egypt,Africa,"396,328"
Philippines,Asia,"393,737"
Singapore,Asia,"378,645"
Malaysia,Asia,"371,114"
Hong Kong,Asia,"369,722"
Vietnam,Asia,"368,002"
Bangladesh,Asia,"355,689"
Chile,Americas,"331,250"
Colombia,Americas,"300,791"
Finland,Europe,"296,016"
Romania,Europe,"287,279"
Pakistan,Asia,"261,726"
Czech Republic,Europe,"276,914"
Portugal,Europe,"251,709"
New Zealand,Oceania,"247,640"
Peru,Americas,"225,858"
Greece,Europe,"211,645"
Iraq,Asia,"201,472"
Kazakhstan,Asia,"194,024"
Ukraine,Europe,"181,038"
Hungary,Europe,"180,959"
Qatar,Asia,"169,184"
Algeria,Africa,"163,812"
Kuwait,Asia,"132,266"
Morocco,Africa,"126,035"
Slovakia,Europe,"116,748"
Kenya,Africa,"109,491"
Cuba,Americas,N/A
Puerto Rico,Americas,"106,576"
Ecuador,Americas,"104,483"
Ethiopia,Africa,"92,757"
Dominican Republic,Americas,"89,502"
Luxembourg,Europe,"83,771"
Guatemala,Americas,"83,305"
Sri Lanka,Asia,"80,785"
Oman,Asia,"80,611"
Bulgaria,Europe,"77,907"
Ghana,Africa,"75,487"
Angola,Africa,"70,339"
Tanzania,Africa,"69,238"
Ivory Coast,Africa,"68,845"
Myanmar,Asia,"66,740"
Belarus,Europe,"65,754"
Uzbekistan,Asia,"65,503"
Lebanon,Asia,"19,126"
Croatia,Europe,"63,399"
Lithuania,Europe,"62,635"
Costa Rica,Americas,"61,178"
Slovenia,Europe,"60,890"
Serbia,Europe,"60,669"
Panama,Americas,"60,121"
Uruguay,Americas,"60,108"
DR Congo,Africa,"54,832"
Turkmenistan,Asia,"53,087"
Azerbaijan,Asia,"52,645"
Jordan,Asia,"45,344"
Venezuela,Americas,"44,893"
Cameroon,Africa,"44,806"
